" """"",Channel A Last (mV),Channel A Ave. (mV),Channel A Min. (mV),Channel A Max. (mV)
00:02:23,49.448,49.448,49.448,49.448
00:02:24,47.097,47.097,47.097,47.097
00:02:25,42.164,42.164,42.164,42.164
00:02:26,49.795,49.795,49.795,49.795
00:02:27,44.806,44.806,44.806,44.806
00:02:28,45.001,45.001,45.001,45.001
00:02:29,49.442,49.442,49.442,49.442
00:02:30,52.716,52.716,52.716,52.716
00:02:31,42.584,42.584,42.584,42.584
00:02:32,56.101,56.101,56.101,56.101
00:02:33,48.751,48.751,48.751,48.751
00:02:34,49.908,49.908,49.908,49.908
00:02:35,41.668,41.668,41.668,41.668
00:02:36,50.826,50.826,50.826,50.826
00:02:37,49.324,49.324,49.324,49.324
00:02:38,52.502,52.502,52.502,52.502
00:02:39,48.043,48.043,48.043,48.043
00:02:40,54.557,54.557,54.557,54.557
00:02:41,41.668,41.668,41.668,41.668
00:02:42,56.568,56.568,56.568,56.568
00:02:43,44.015,44.015,44.015,44.015
00:02:44,56.549,56.549,56.549,56.549
00:02:45,46.054,46.054,46.054,46.054
00:02:46,37.357,37.357,37.357,37.357
00:02:47,45.096,45.096,45.096,45.096
00:02:48,44.896,44.896,44.896,44.896
00:02:49,46.087,46.087,46.087,46.087
00:02:50,41.553,41.553,41.553,41.553
00:02:51,58.737,58.737,58.737,58.737
00:02:52,38.335,38.335,38.335,38.335
00:02:53,49.908,49.908,49.908,49.908
00:02:54,43.283,43.283,43.283,43.283
00:02:55,55.677,55.677,55.677,55.677
00:02:56,40.349,40.349,40.349,40.349
00:02:57,51.498,51.498,51.498,51.498
00:02:58,34.227,34.227,34.227,34.227
00:02:59,55.594,55.594,55.594,55.594
00:03:00,37.357,37.357,37.357,37.357
00:03:01,50.634,50.634,50.634,50.634
00:03:02,40.494,40.494,40.494,40.494
00:03:03,50.101,50.101,50.101,50.101
00:03:04,39.836,39.836,39.836,39.836
00:03:05,51.959,51.959,51.959,51.959
00:03:06,46.251,46.251,46.251,46.251
00:03:07,56.438,56.438,56.438,56.438
00:03:08,41.04,41.04,41.04,41.04
00:03:09,50.826,50.826,50.826,50.826
00:03:10,47.441,47.441,47.441,47.441
00:03:11,42.085,42.085,42.085,42.085
00:03:12,43.378,43.378,43.378,43.378
00:03:13,41.315,41.315,41.315,41.315
00:03:14,49.211,49.211,49.211,49.211
00:03:15,46.283,46.283,46.283,46.283
00:03:16,54.139,54.139,54.139,54.139
00:03:17,49.605,49.605,49.605,49.605
00:03:18,43.751,43.751,43.751,43.751
00:03:19,52.803,52.803,52.803,52.803
00:03:20,51.821,51.821,51.821,51.821
00:03:21,54.579,54.579,54.579,54.579
00:03:22,51.589,51.589,51.589,51.589
00:03:23,49.015,49.015,49.015,49.015
00:03:24,52.085,52.085,52.085,52.085
00:03:25,49.448,49.448,49.448,49.448
00:03:26,61.622,61.622,61.622,61.622
00:03:27,54.069,54.069,54.069,54.069
00:03:28,55.634,55.634,55.634,55.634
00:03:29,43.676,43.676,43.676,43.676
00:03:30,51.252,51.252,51.252,51.252
00:03:31,45.71,45.71,45.71,45.71
00:03:32,61.972,61.972,61.972,61.972
00:03:33,52.199,52.199,52.199,52.199
00:03:34,56.101,56.101,56.101,56.101
00:03:35,40.418,40.418,40.418,40.418
00:03:36,62.035,62.035,62.035,62.035
00:03:37,38.159,38.159,38.159,38.159
00:03:38,52.803,52.803,52.803,52.803
00:03:39,46.679,46.679,46.679,46.679
00:03:40,50.618,50.618,50.618,50.618
00:03:41,49.109,49.109,49.109,49.109
00:03:42,58.554,58.554,58.554,58.554
00:03:43,46.697,46.697,46.697,46.697
00:03:44,63.293,63.293,63.293,63.293
00:03:45,55.019,55.019,55.019,55.019
00:03:46,62.006,62.006,62.006,62.006
00:03:47,54.936,54.936,54.936,54.936
00:03:48,49.57,49.57,49.57,49.57
00:03:49,56.568,56.568,56.568,56.568
00:03:50,50.178,50.178,50.178,50.178
00:03:51,42.66,42.66,42.66,42.66
00:03:52,51.513,51.513,51.513,51.513
00:03:53,49.324,49.324,49.324,49.324
00:03:54,45.001,45.001,45.001,45.001
00:03:55,47.576,47.576,47.576,47.576
00:03:56,42.904,42.904,42.904,42.904
00:03:57,52.543,52.543,52.543,52.543
00:03:58,42.17,42.17,42.17,42.17
00:03:59,44.585,44.585,44.585,44.585
00:04:00,54.106,54.106,54.106,54.106
00:04:01,51.379,51.379,51.379,51.379
00:04:02,52.803,52.803,52.803,52.803
00:04:03,59.337,59.337,59.337,59.337
00:04:04,64.703,64.703,64.703,64.703
00:04:05,65.478,65.478,65.478,65.478
00:04:06,46.054,46.054,46.054,46.054
00:04:07,58.191,58.191,58.191,58.191
00:04:08,51.03,51.03,51.03,51.03
