type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
 1, 2024-05-19T18:48:56.017533541,  26.517442,  87.632210,   2956, 3000,   5,   1,   0, 2024-05-19T18:48:56.017533541, 2024-05-19T18:48:56.017533541, 0.000000,  26.517442,  26.517442,  87.632210,  87.632210  
 1, 2024-05-19T18:48:57.172400713,  26.470942,  87.551820,   3809, 8393,   7,   1,   0, 2024-05-19T18:48:57.172400713, 2024-05-19T18:48:57.172400713, 0.000000,  26.470942,  26.470942,  87.551820,  87.551820  
 1, 2024-05-19T18:48:59.585197449,  26.391775,  88.032323,   3177, 14968,   6,   1,   0, 2024-05-19T18:48:59.585197449, 2024-05-19T18:48:59.585197449, 0.000000,  26.391775,  26.391775,  88.032323,  88.032323  
 1, 2024-05-19T18:48:59.290723085,  26.483915,  87.645211,  -4423, 17264,   6,   2,   0, 2024-05-19T18:48:58.620468616, 2024-05-19T18:48:59.290723085, 0.670254,  26.483915,  26.519676,  87.611228,  87.645211  
 1, 2024-05-19T18:49:01.338987827,  26.516400,  87.683173,  -3008, 15087,   5,   1,   0, 2024-05-19T18:49:01.338987827, 2024-05-19T18:49:01.338987827, 0.000000,  26.516400,  26.516400,  87.683173,  87.683173  
 1, 2024-05-19T18:49:02.904218197,  26.501860,  87.678159,   4412, 12913,   6,   1,   0, 2024-05-19T18:49:02.904218197, 2024-05-19T18:49:02.904218197, 0.000000,  26.501860,  26.501860,  87.678159,  87.678159  
 1, 2024-05-19T18:49:03.487414598,  26.362288,  88.058518,   6238, 13568,   8,   2,   0, 2024-05-19T18:49:03.487414598, 2024-05-19T18:49:03.527140141, 0.039726,  26.362288,  26.372984,  88.057268,  88.058518  
 1, 2024-05-19T18:49:06.916365862,  26.505739,  87.700358,   5338, 18369,   7,   1,   0, 2024-05-19T18:49:06.916365862, 2024-05-19T18:49:06.916365862, 0.000000,  26.505739,  26.505739,  87.700358,  87.700358  
 1, 2024-05-19T18:49:07.399590731,  26.391789,  88.048396,   4417, 6631,   7,   2,   0, 2024-05-19T18:49:07.399590731, 2024-05-19T18:49:07.521614313, 0.122024,  26.391789,  26.415597,  88.048396,  88.106186  
 1, 2024-05-19T18:49:08.160256386,  26.360955,  87.683706,  -5774, 3023,   7,   1,   0, 2024-05-19T18:49:08.160256386, 2024-05-19T18:49:08.160256386, 0.000000,  26.360955,  26.360955,  87.683706,  87.683706  
 1, 2024-05-19T18:49:09.814702988,  26.499783,  87.632451,   7544, 11328,   8,   6,   0, 2024-05-19T18:49:09.238552570, 2024-05-19T18:49:09.814702988, 0.576150,  26.469790,  26.499783,  87.558215,  87.632451  
 0, 2024-05-19T18:49:10.049918413,  26.538850,  87.161238, -15032,    0,  11,   1,   1, 2024-05-19T18:49:10.049918413, 2024-05-19T18:49:10.339852095, 0.289934,  26.538850,  26.549638,  87.159064,  87.161238  
 1, 2024-05-19T18:49:12.165241718,  26.530384,  87.615857,   2958, 5512,   7,   1,   0, 2024-05-19T18:49:12.165241718, 2024-05-19T18:49:12.165241718, 0.000000,  26.530384,  26.530384,  87.615857,  87.615857  
 1, 2024-05-19T18:49:14.958895683,  26.491408,  87.571901,   4820, 17015,   5,   5,   0, 2024-05-19T18:49:14.779679298, 2024-05-19T18:49:15.084420204, 0.304741,  26.460740,  26.498674,  87.571901,  87.696730  
 1, 2024-05-19T18:49:16.660099030,  26.443118,  87.638396,  -3096, 6872,   6,   1,   0, 2024-05-19T18:49:16.660099030, 2024-05-19T18:49:16.660099030, 0.000000,  26.443118,  26.443118,  87.638396,  87.638396  
 1, 2024-05-19T18:49:16.951469183,  26.537905,  87.623880,  -8059, 8105,   8,   2,   0, 2024-05-19T18:49:16.442887545, 2024-05-19T18:49:16.951469183, 0.508582,  26.526874,  26.537905,  87.623880,  87.677982  
 1, 2024-05-19T18:49:16.249717474,  26.351536,  87.655298,   4763, 9234,   7,   2,   0, 2024-05-19T18:49:16.228341818, 2024-05-19T18:49:16.249717474, 0.021376,  26.349022,  26.351536,  87.654148,  87.655298  
 1, 2024-05-19T18:49:17.152616978,  26.484543,  87.515037,   3534, 8038,   6,   1,   0, 2024-05-19T18:49:17.152616978, 2024-05-19T18:49:17.152616978, 0.000000,  26.484543,  26.484543,  87.515037,  87.515037  
 1, 2024-05-19T18:49:18.604725599,  26.471952,  87.670789,   7060, 5698,   9,   4,   0, 2024-05-19T18:49:18.404337645, 2024-05-19T18:49:18.663514376, 0.259177,  26.470962,  26.486591,  87.659070,  87.670789  
 0, 2024-05-19T18:49:19.953500271,  26.462645,  87.643477, -12968,    0,   8,   0,   1, 2024-05-19T18:49:19.953500271, 2024-05-19T18:49:19.953500271, 0.000000,  26.462645,  26.462645,  87.643477,  87.643477  
 1, 2024-05-19T18:49:21.242049694,  26.517170,  87.618170,   6378, 9783,   8,   5,   0, 2024-05-19T18:49:21.242049694, 2024-05-19T18:49:21.547547817, 0.305498,  26.466270,  26.517170,  87.618170,  87.663434  
 1, 2024-05-19T18:49:22.916066170,  26.489141,  87.542784,   5002, 4152,   8,   1,   0, 2024-05-19T18:49:22.916066170, 2024-05-19T18:49:22.916066170, 0.000000,  26.489141,  26.489141,  87.542784,  87.542784  
 1, 2024-05-19T18:49:22.977564812,  26.494637,  87.721215,  -2218, 6611,   5,   1,   0, 2024-05-19T18:49:22.977564812, 2024-05-19T18:49:22.977564812, 0.000000,  26.494637,  26.494637,  87.721215,  87.721215  
 1, 2024-05-19T18:49:25.148730278,  26.523685,  87.656746,   6695, 6486,   8,   2,   0, 2024-05-19T18:49:24.976983070, 2024-05-19T18:49:25.148730278, 0.171747,  26.523685,  26.524200,  87.642780,  87.656746  
 1, 2024-05-19T18:49:25.971203804,  26.487019,  87.569016,   4889, 6542,   6,   1,   0, 2024-05-19T18:49:25.971203804, 2024-05-19T18:49:25.971203804, 0.000000,  26.487019,  26.487019,  87.569016,  87.569016  
 1, 2024-05-19T18:49:26.302612782,  26.492253,  87.165643,   5213, 14502,   7,   4,   0, 2024-05-19T18:49:26.302612782, 2024-05-19T18:49:26.381248474, 0.078636,  26.435482,  26.511063,  87.145568,  87.183427  
 1, 2024-05-19T18:49:26.775792122,  26.429137,  87.639523,   4212, 8164,   7,   1,   0, 2024-05-19T18:49:26.775792122, 2024-05-19T18:49:26.775792122, 0.000000,  26.429137,  26.429137,  87.639523,  87.639523  
 1, 2024-05-19T18:49:27.654689312,  26.386274,  88.046494,   6491, 8696,   7,   3,   0, 2024-05-19T18:49:27.654689312, 2024-05-19T18:49:27.709287882, 0.054599,  26.385447,  26.391591,  88.039239,  88.059467  
 0, 2024-05-19T18:49:28.779632807,  26.494772,  87.198374,  -5288,    0,   7,   0,   1, 2024-05-19T18:49:28.779632807, 2024-05-19T18:49:28.779632807, 0.000000,  26.494772,  26.494772,  87.198374,  87.198374  
