type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
 0, 2024-06-19T00:00:07.052006960,  26.859592,  87.465802, -22313,    0,  12,   0,   1, 2024-06-19T00:00:07.052006960, 2024-06-19T00:00:07.052006960, 0.000000,  26.859592,  26.859592,  87.465802,  87.465802  
 0, 2024-06-19T00:01:11.912751675,  27.199485,  88.107860,  16723,    0,   8,   0,   1, 2024-06-19T00:01:11.912751675, 2024-06-19T00:01:11.912751675, 0.000000,  27.199485,  27.199485,  88.107860,  88.107860  
 0, 2024-06-19T00:01:51.529304266,  26.875148,  87.461766,  17380,    0,  11,   0,   1, 2024-06-19T00:01:51.529304266, 2024-06-19T00:01:51.529304266, 0.000000,  26.875148,  26.875148,  87.461766,  87.461766  
 1, 2024-06-19T00:02:34.919876337,  26.890091,  87.456830,  13413, 18722,   8,   1,   0, 2024-06-19T00:02:34.919876337, 2024-06-19T00:02:34.919876337, 0.000000,  26.890091,  26.890091,  87.456830,  87.456830  
 0, 2024-06-19T00:03:19.069074392,  26.851853,  87.482288, -26773,    0,  14,   0,   6, 2024-06-19T00:03:18.771117210, 2024-06-19T00:03:19.069074392, 0.297957,  26.851853,  26.867544,  87.482288,  87.501496  
 0, 2024-06-19T00:04:47.188769341,  26.819912,  87.207358,  15615,    0,   7,   0,   1, 2024-06-19T00:04:47.188769341, 2024-06-19T00:04:47.188769341, 0.000000,  26.819912,  26.819912,  87.207358,  87.207358  
 0, 2024-06-19T00:04:52.703421831,  26.572736,  88.107262, -17859,    0,  12,   0,   1, 2024-06-19T00:04:52.703421831, 2024-06-19T00:04:52.703421831, 0.000000,  26.572736,  26.572736,  88.107262,  88.107262  
 0, 2024-06-19T00:05:07.403387070,  26.856434,  87.509876, -12047,    0,   8,   0,   1, 2024-06-19T00:05:07.403387070, 2024-06-19T00:05:07.403387070, 0.000000,  26.856434,  26.856434,  87.509876,  87.509876  
 0, 2024-06-19T00:06:42.173822403,  26.863718,  87.519380, -14793,    0,   8,   0,   1, 2024-06-19T00:06:42.173822403, 2024-06-19T00:06:42.173822403, 0.000000,  26.863718,  26.863718,  87.519380,  87.519380  
 0, 2024-06-19T00:07:50.891898632,  26.875585,  87.401214, -19356,    0,  16,   0,   1, 2024-06-19T00:07:50.891898632, 2024-06-19T00:07:50.891898632, 0.000000,  26.875585,  26.875585,  87.401214,  87.401214  
 0, 2024-06-19T00:07:51.117485523,  26.901683,  87.505395, -22733,    0,  11,   0,   2, 2024-06-19T00:07:51.020255804, 2024-06-19T00:07:51.117485523, 0.097230,  26.896587,  26.901683,  87.505395,  87.506623  
 0, 2024-06-19T00:08:37.970312595,  26.890421,  87.488077, -12899,    0,   9,   0,   1, 2024-06-19T00:08:37.970312595, 2024-06-19T00:08:37.970312595, 0.000000,  26.890421,  26.890421,  87.488077,  87.488077  
 1, 2024-06-19T00:10:04.755198956,  26.802809,  87.240618,   9197, 16906,   6,   1,   0, 2024-06-19T00:10:04.755198956, 2024-06-19T00:10:04.755198956, 0.000000,  26.802809,  26.802809,  87.240618,  87.240618  
